Index,Frequency,Magnitude,Phase,Real,Imaginary
0,0,3.28818,3.14159,-3.28818,0
1,5.85938,6.58063,2.76114,-6.11008,2.44367
2,11.7188,4.15845,2.7033,-3.76538,1.76482
3,17.5781,9.33847,2.60109,-8.00726,4.80528
4,23.4375,16.4682,2.13478,-8.80313,13.9178
5,29.2969,33.8503,3.0649,-33.7508,2.59357
6,35.1562,31.1174,-2.43526,-23.6725,-20.1967
7,41.0156,20.0221,-1.81426,-4.82665,-19.4316
8,46.875,16.8979,-2.06905,-8.07543,-14.8434
9,52.7344,15.5016,-1.4797,1.41018,-15.4373
10,58.5938,21.3844,-1.37052,4.25422,-20.9569
11,64.4531,28.9542,0.287478,27.7659,8.2095
12,70.3125,24.6345,2.33903,-17.1177,17.7157
13,76.1719,11.9575,-3.077,-11.9326,-0.771865
14,82.0312,16.7667,-2.79564,-15.7733,-5.68544
15,87.8906,22.6221,-3.03545,-22.4948,-2.39658
16,93.75,45.3138,-2.01718,-19.5622,-40.8737
17,99.6094,30.6027,-0.868309,19.773,-23.3571
18,105.469,7.95603,-0.912403,4.86788,-6.29303
19,111.328,11.9673,-1.07986,5.64203,-10.5538
20,117.188,5.88899,-1.05182,2.9209,-5.11356
21,123.047,14.6445,-2.27188,-9.44635,-11.1906
22,128.906,39.1698,-1.12131,17.0195,-35.279
23,134.766,30.0486,0.334217,28.3859,9.85681
24,140.625,4.20489,1.10863,1.87491,3.76374
25,146.484,4.72515,0.442725,4.26958,2.02427
26,152.344,2.53609,1.91154,-0.847536,2.39028
27,158.203,8.31295,-2.35394,-5.86489,-5.89136
28,164.062,11.7598,-1.18725,4.40066,-10.9054
29,169.922,5.60606,-0.536428,4.81863,-2.86509
30,175.781,5.10236,-1.26716,1.52556,-4.86896
31,181.641,6.3246,-1.62139,-0.31983,-6.31651
32,187.5,17.9435,-1.71336,-2.54948,-17.7614
33,193.359,37.7825,-0.71576,28.5105,-24.7925
34,199.219,33.1906,0.546139,28.3626,17.2389
35,205.078,11.6677,1.35644,2.48192,11.4007
36,210.938,6.54838,1.2048,2.3435,6.11468
37,216.797,3.13657,0.794884,2.19675,2.23882
38,222.656,10.2158,1.81385,-2.45858,9.91553
39,228.516,19.1768,-2.28793,-12.6035,-14.4534
40,234.375,21.5315,-0.65036,17.1362,-13.0367
41,240.234,13.9108,0.20389,13.6226,2.81666
42,246.094,8.08116,0.440978,7.30808,3.44923
43,251.953,8.47888,0.394093,7.82894,3.25565
44,257.812,12.7551,0.296293,12.1993,3.72418
45,263.672,19.1226,1.50357,1.2846,19.0794
46,269.531,6.65358,3.07676,-6.6396,0.431053
47,275.391,2.52821,1.57794,-0.0180673,2.52814
48,281.25,1.24335,-2.6163,-1.07572,-0.623499
49,287.109,3.83102,-0.351994,3.59613,-1.32082
50,292.969,4.71336,0.714735,3.55984,3.08922
51,298.828,5.75651,0.49435,5.06733,2.73123
52,304.688,10.883,1.5794,-0.0936055,10.8826
53,310.547,4.71556,2.63161,-4.11553,2.30195
54,316.406,8.20422,2.22311,-4.98019,6.51974
55,322.266,8.63444,-3.1016,-8.62753,-0.345198
56,328.125,13.1328,-2.51178,-10.6131,-7.73514
57,333.984,13.3542,-1.20293,4.8025,-12.4608
58,339.844,5.01104,-0.384818,4.64457,-1.8811
59,345.703,5.95031,-1.1045,2.67513,-5.31506
60,351.562,12.8123,-0.0797122,12.7716,-1.02022
61,357.422,11.6527,1.49603,0.870399,11.6201
62,363.281,4.94767,3.06348,-4.93258,0.3861
63,369.141,4.21985,-2.87742,-4.07346,-1.10187
64,375,5.93092,-1.7747,-1.20098,-5.80805
65,380.859,4.89454,-1.55939,0.0558381,-4.89422
66,386.719,9.07894,-1.27065,2.68431,-8.67304
67,392.578,13.0419,-0.553969,11.0914,-6.86093
68,398.438,13.7085,0.238589,13.3202,3.23975
69,404.297,11.448,1.15494,4.62474,10.4723
70,410.156,4.30739,2.06837,-2.0559,3.78509
71,416.016,3.87199,1.27576,1.12586,3.70469
72,421.875,9.02527,2.51129,-7.29107,5.31938
73,427.734,13.621,-2.19024,-7.90805,-11.0903
74,433.594,12.4084,-0.856413,8.12939,-9.37452
75,439.453,7.2243,-0.35408,6.77615,-2.50486
76,445.312,9.18204,-0.0825234,9.15079,-0.756874
77,451.172,6.37972,0.244656,6.18974,1.54531
78,457.031,12.0462,0.562599,10.1895,6.42526
79,462.891,9.74421,1.78784,-2.09839,9.51558
80,468.75,4.23362,2.46669,-3.30547,2.64526
81,474.609,3.34016,-2.44853,-2.56956,-2.13402
82,480.469,2.17435,-1.03242,1.11488,-1.86678
83,486.328,3.56334,-1.10578,1.59794,-3.18496
84,492.188,7.26248,-0.565222,6.13294,-3.88981
85,498.047,10.1497,0.339177,9.5715,3.37693
86,503.906,6.65824,1.04298,3.35341,5.75212
87,509.766,7.49687,1.25711,2.31328,7.13104
